Integration Time (micros): 98000         
Min saturation: -188.99394239295856         
Max saturation: 916.0969101751331         
Wavelength (nm), Intensity (Counts)
3.559844274199896290e+02,3.417698896079177757e+03
3.562015981489199135e+02,3.365886504055518344e+03
3.564187548986499792e+02,3.425374806008608630e+03
3.566358976677968826e+02,3.429212760973324293e+03
3.568530264549773960e+02,3.404266053702673616e+03
3.570701412588085759e+02,3.302560247137711940e+03
3.572872420779073650e+02,3.302560247137711940e+03
3.575043289108905924e+02,3.398509121255600348e+03
3.577214017563753146e+02,3.408104008667388825e+03
3.579384606129784174e+02,3.344777751749582876e+03
3.581555054793167301e+02,3.306398202102427604e+03
3.583725363540073658e+02,3.425374806008608630e+03
3.585895532356671538e+02,3.388914233843811417e+03
3.588065561229130367e+02,3.358210594126087017e+03
3.590235450143620142e+02,3.431131738455681898e+03
3.592405199086309153e+02,3.415779918596820153e+03
3.594574808043368535e+02,3.444564580832186493e+03
3.596744277000965440e+02,3.367805481537875949e+03
3.598913605945270433e+02,3.402347076220315557e+03
3.601082794862452374e+02,3.423455828526251025e+03
3.603251843738681259e+02,3.400428098737957953e+03
3.605420752560125948e+02,3.415779918596820153e+03
3.607589521312956435e+02,3.400428098737957953e+03
3.609758149983340445e+02,3.490620040408772638e+03
3.611926638557449110e+02,3.419617873561535362e+03
3.614094987021451288e+02,3.388914233843811417e+03
3.616263195361515841e+02,3.400428098737957953e+03
3.618431263563812195e+02,3.362048549090802680e+03
3.620599191614510346e+02,3.411941963632104489e+03
3.622766979499779154e+02,3.363967526573160285e+03
3.624934627205788047e+02,3.586568914526661047e+03
3.627102134718706452e+02,3.273775584902345599e+03
3.629269502024703797e+02,3.392752188808526626e+03
3.631436729109949511e+02,3.264180697490556668e+03
3.633603815960611882e+02,3.371643436502591612e+03
3.635770762562862615e+02,3.433050715938039957e+03
3.637937568902868293e+02,3.394671166290884685e+03
3.640104234966799481e+02,3.319831044478931744e+03
3.642270760740825608e+02,3.417698896079177757e+03
3.644437146211116669e+02,3.360129571608444621e+03
3.646603391363840956e+02,3.417698896079177757e+03
3.648769496185167895e+02,3.375481391467306821e+03
3.650935460661267484e+02,3.337101841820151549e+03
3.653101284778309150e+02,3.417698896079177757e+03
3.655266968522461184e+02,3.400428098737957953e+03
3.657432511879894150e+02,3.406185031185031221e+03
3.659597914836776340e+02,3.396590143773242289e+03
3.661763177379278318e+02,3.373562413984949217e+03
3.663928299493568375e+02,3.383157301396738148e+03
3.666093281165815938e+02,3.419617873561535362e+03
3.668258122382191004e+02,3.362048549090802680e+03
3.670422823128862433e+02,3.371643436502591612e+03
3.672587383392000220e+02,3.433050715938039957e+03
3.674751803157772656e+02,3.339020819302509608e+03
3.676916082412349169e+02,3.394671166290884685e+03
3.679080221141900324e+02,3.392752188808526626e+03
3.681244219332594412e+02,3.413860941114462094e+03
3.683408076970601428e+02,3.340939796784867212e+03
3.685571794042090232e+02,3.423455828526251025e+03
3.687735370533230252e+02,3.390833211326169021e+03
3.689898806430190916e+02,3.315993089514216081e+03
3.692062101719141651e+02,3.442645603349828889e+03
3.694225256386251885e+02,3.337101841820151549e+03
